,,,,,,,,,,,,,,,,,,,,
Course Code,Course Name ,L,T,P,"C
old",C,Name of the Instructor(s),Section,Lecture,Tutorial,Lab,Link for online classes,No of students,Preferred knowledge equivalent to,Minor in,Open to,IMS Status,Course plan,Remarks,Approval (SAPC meeting)
HS XXX,HSS Elective,,,,,,,,,,,,,,,,,,,
,BS Elective,,,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5th Sem Computer Science,,,,,,,,,,,,,,,,,,,,
CS 302,Theory of Computation,3,1,0,,4,Balagopal (I+T),,K,L1,,CS 302,,"Mathematical Maturity, Good Programming Skills",CSE,,,,,
CS 301,Operating Systems,3,0,2,,5,Nipun Batra (I+L),,F,,M3+N3,CS 301,,ES 203 Digital Systems,CSE,,,,,
ES 331,Probability and Random Processes,3,1,0,6,4,Shanmuganathan Raman (I+T),,D,J1,,ES 331,,Probability and Statistics,,,,,,
HS 3XX,HSS Elective,,,,,,,,,,,,,,,,,,,
,BS Elective,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7th Sem Computer Science,,,,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,,,,
HS 3XX,HSS Elective,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5th Sem  Electrical,,,,,,,,,,,,,,,,,,,,
EE 332,Power Systems,3,1,0,8,4,Ragavan K (I+T),,C,K1,,EE 332,,ES 103,,,,,,
ES 331,Probability and Random Processes,3,1,0,6,4,Shanmuganathan Raman (I+T),,D,J1,,ES 331,,Probability and Statistics,,,,,,
EE 321,Analog Circuits,3,1,3,9,5,"Nihar Mohapatra (I+T+L), Himanshu Shekhar (L)",,F,K3,J2+L2,EE 321,,EE 221 Electronic Devices,,,,,,
EE 311,Electromagnetic Waves,3,1,0,6,4,Ravi Hegde (I+T),,G,K2,,EE 311,,PH 101,,,,,,
HS XXX,HSS Elective,3,0,0,,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7th  Sem  Electrical,,,,,,,,,,,,,,,,,,,,
EE 411,Digital Signal Processing,3,1,0,6,4,"Uttama Lahiri (I+T), Madhu Vadali (T)",,G,K1,,EE 411,,ES 331,,,,,,
EE 431,Electrical Systems Lab,0,0,4,,2,S Rajendran (L),,,,K2+M2+N2+P2,EE 431,,"EE 341, EE 311, EE 411, ES 332, EE 332.",,,,,,
HS XXX,HSS Elective (choose from list below),,,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,,,,
,Basic Science Elective (choose from list below),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5th  Sem  Mechanical,,,,,,,,,,,,,,,,,,,,
ES 311,Heat and Mass Transfer,3,1,0,8,4,"Sameer Dalvi (I+T), Jaichander Swaminathan (T)",,F,M1,,ES 311,,ES 212,,,,,,
ME 321,Mechanics of Deformable Bodies,3,1,0,8,4,Ravi Sastri Ayyagari (I+T),,C,D2,,ME 321,,ES 221,,,,,,
ME 331,Manufacturing Processes and Systems,3,0,0,8,4,"Madhu Vadali (I), N. Ramakrishnan",,E, ,,ME 331,,ES 104,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7th Sem  Mechanical,,,,,,,,,,,,,,,,,,,,
ME 461,Integrated Design and Manufacturing II,0,1,4,4,2,N. Ramakrishnan (T+L),,G2,,"D1+G1, D3+G3",ME 461,,,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,,,,
,Basic Science Elective,,,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5th Sem Materials Sci & Engg,,,,,,,,,,,,,,,,,,,,
MSE 303,Mechanical Behaviour of Materials (more details on lab component would be shared soon),3,0,2,,5,Pradipta Ghosh (I+L),,D,,,MSE 303,,"ES 202, ES 221",,,,,,
MSE 304,Principles of Metal Extraction and Refining,3,0,0,,4,S. P. Mehrotra (I),,E,,,MSE 304,,,,,,,,
MSE 305,Advanced Materials,3,0,0,,4,Superb Misra (I),,G,,,MSE 305 (Wednesday),,ES 202,,,,,,
MSE 310,Physics of Materials,3,1,0,,4,Gopinathan Kalon (I+T),,F,K1,,MSE 310,,ES 202,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7th Sem Materials Sci & Engg,,,,,,,,,,,,,,,,,,,,
