,,,,,,,,,,,,,,,,,,,,
Course Code,Course Name ,L,T,P,"C
old",C,Name of the Instructor(s),Section,Lecture,Tutorial,Lab,Link for online classes,No of students,Preferred knowledge equivalent to,Minor in,Open to,IMS Status,Course plan,Remarks,Approval (SAPC meeting)
HS 491-III,Special Topics in HSS: Storytelling for the Digital Era,3,0,0,,4,Arnapurna Rath,,K,,,HS 491-III,40,,HSS,,,,,
HS 507 ,"Humanism, Anti-Humanism, and Posthumanism",3,0,0,,4,Angus McBlane,,H,,,HS 507 ,40,,HSS,,,,,
HS 510 ,Perspectives on Indian Civilization,3,0,0,,4,Michel Danino,,G,,,HS 510 ,40,,HSS,,,,,
HS 512,Political Thought,3,0,0,,4,Dyotana Banerjee,,L,,,HS 512,40,,HSS,,,,,
HS 515 ,The Politics of the Environment,3,0,0,,4,Ambika Aiyadurai,,J,,,HS 515 ,40,,HSS,,,,,
HS 518 ,"Philosophy, Cognition and Psychoanalysis",3,0,0,,4,Arka Chattopadhyay,,H,,,HS 518 ,40,,HSS,,,,,
HS 519 ,Linguistic Anthropology,3,0,0,,4,Nishaant Choksi,,G,,,HS 519 ,40,,HSS,,,,,
HS 610,A Critical Journey Through Select Thoughts and Theories,3,0,0,,4,Arnapurna Rath,,L,,,HS 610,40,,,,,,,
HS 645 ,"History of India, 1930-1964",3,0,0,,4,Madhumita Sengupta,,M,,,HS 645 ,40,,HSS,,,,,
HS 691-I,Special Topics in HSS: Themes in Postcolonialism,3,0,0,,4,Madhumita Sengupta,,J,,,HS 691-I,40,,HSS,,,,,
HS 691-II,Special topics in HSS: Applied statistics: Multilevel modeling,3,0,0,,4,Malavika Subramanyam,,K,,,HS 691-II,30,,HSS,,,,,
IN 304 ,Ancient Indian Technology,3,1,0,,4,Alok Kumar Kanungo (I+T),,F,K1,,IN 304 ,40,,HSS,,,,,
MS 304,Organizational Behaviour & Human Resource Management (OB & HRM),3,0,0,,4,Sumeet Varghese,,P,,,MS 304,40,,management,,,,,
MS 403,Engineering Entrepreneurship,3,0,0,,4,Raj Jaswa,,Tuesdays and Wednesdays 8 pm to 9:30 pm,,,MS 403,40,,management,,,,,
MS 491,Special topics in Management: Marketing Analytics,3,0,0,,4,Marcos Severo,,Live class: Friday morning 7.30 to 9 am. 50% asynchronous teaching,,,MS 491,40,,management,,,,,
HS 491-IV,Special Topics in HSS: Owning your Narrative,3,0,0,,4,Brian Brophy,, 8-9.30 PM on Tuesday and Thursday,,,HS 491-IV,20,,HSS,,,,,
HS 491-V,"Special Topics in HSS: Social Health Engineering (Half Sem course, 2nd Half)",3,0,0,,2,Saravanan Subramnain,,,,,HS 491-V,40,,HSS,,,,,
HS 691-III,Special Topics in HSS: Abnormal Psychology,3,0,0,,4,Fred Coolidge,,"8-9 PM on Monday, Wednesday and Thursday",,,HS 691-III,40,,HSS,,,,,
HS 327 (H),"Anthropology, Citizenship and Human Rights (Half Sem course, 2nd Half)",3,0,0,,2,Rosa Perez,,TBD,,,HS 327 (H),40,,HSS,,,,,
MS 492,"Special Topics in Management: Finance Management (2 credit course that will run for entire semester, ~2 hours each week)",2,0,0,,2,Rajiv Bhatt,first lecture friday 14 August 6.30 to 8.00 pm,Saturday 9 to 10.30 am,,,MS 492,40,Accounting and Finance Management,HSS,,,,,
MS 491-I,Special Topics in Management: Product Management,3,0,0,,4,Rajiv Joshi,Registration needed on zoom link,Thursday and Friday 5 to 6.30 pm,,,MS 491-I,40,,HSS,,,,,
